Team,Name,Number,Position,Age,Height,Weight,College,Salary
Boston Celtics,Avery Bradley,0,PG,25,06-Feb,180,Texas,7730337
Boston Celtics,Jae Crowder,99,SF,25,06-Jun,235,Marquette,6796117
Boston Celtics,John Holland,30,SG,27,06-May,205,Boston University,
Boston Celtics,R.J. Hunter,28,SG,22,06-May,185,Georgia State,1148640
Boston Celtics,Jonas Jerebko,8,PF,29,06-Oct,231,,5000000
Boston Celtics,Amir Johnson,90,PF,29,06-Sep,240,,12000000
Boston Celtics,Jordan Mickey,55,PF,21,06-Aug,235,LSU,1170960
Boston Celtics,Kelly Olynyk,41,C,25,7-0,238,Gonzaga,2165160
Boston Celtics,Terry Rozier,12,PG,22,06-Feb,190,Louisville,1824360
Boston Celtics,Marcus Smart,36,PG,22,06-Apr,220,Oklahoma State,3431040
Boston Celtics,Jared Sullinger,7,C,24,06-Sep,260,Ohio State,2569260
Boston Celtics,Isaiah Thomas,4,PG,27,05-Sep,185,Washington,6912869
Boston Celtics,Evan Turner,11,SG,27,06-Jul,220,Ohio State,3425510
Boston Celtics,James Young,13,SG,20,06-Jun,215,Kentucky,1749840
Boston Celtics,Tyler Zeller,44,C,26,7-0,253,North Carolina,2616975
Brooklyn Nets,Bojan Bogdanovic,44,SG,27,06-Aug,216,,3425510
Brooklyn Nets,Markel Brown,22,SG,24,06-Mar,190,Oklahoma State,845059
Brooklyn Nets,Wayne Ellington,21,SG,28,06-Apr,200,North Carolina,1500000
Brooklyn Nets,Rondae Hollis-Jefferson,24,SG,21,06-Jul,220,Arizona,1335480
Brooklyn Nets,Jarrett Jack,2,PG,32,06-Mar,200,Georgia Tech,6300000
Brooklyn Nets,Sergey Karasev,10,SG,22,06-Jul,208,,1599840
Brooklyn Nets,Sean Kilpatrick,6,SG,26,06-Apr,219,Cincinnati,134215
Brooklyn Nets,Shane Larkin,0,PG,23,05-Nov,175,Miami (FL),1500000
Brooklyn Nets,Brook Lopez,11,C,28,7-0,275,Stanford,19689000
Brooklyn Nets,Chris McCullough,1,PF,21,06-Nov,200,Syracuse,1140240
Brooklyn Nets,Willie Reed,33,PF,26,06-Oct,220,Saint Louis,947276
Brooklyn Nets,Thomas Robinson,41,PF,25,06-Oct,237,Kansas,981348
Brooklyn Nets,Henry Sims,14,C,26,06-Oct,248,Georgetown,947276
Brooklyn Nets,Donald Sloan,15,PG,28,06-Mar,205,Texas A&M,947276
Brooklyn Nets,Thaddeus Young,30,PF,27,06-Aug,221,Georgia Tech,11235955
New York Knicks,Arron Afflalo,4,SG,30,06-May,210,UCLA,8000000
New York Knicks,Lou Amundson,##,PF,33,06-Sep,220,UNLV,1635476
New York Knicks,Thanasis Antetokounmpo,43,SF,23,06-Jul,205,,30888
New York Knicks,Carmelo Anthony,7,SF,32,06-Aug,240,Syracuse,22875000
